,scheme_code,annualized_median_return,top_25_percentile,bottom_25_percentile,bottom_5_percentile,top_5_percentile,scheme_name,annualized_mean_std
5125,149081,4.54,5.34,3.69,2.42,6.42,SBI Fixed Maturity Plan (FMP) Series 47 (1434 Days) - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),1.153918630087987
5126,149082,4.51,5.29,3.68,2.41,6.42,SBI Fixed Maturity Plan (FMP) Series 47 (1434 Days) - Direct Plan - Growth,1.154060730792996
5127,149083,4.42,5.18,3.59,2.32,6.27,SBI Fixed Maturity Plan (FMP) Series 47 (1434 Days) - Regular Plan - Growth,1.1538479011750171
5128,149084,4.39,5.18,3.59,2.32,6.29,SBI Fixed Maturity Plan (FMP) Series 47 (1434 Days) - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),1.1537840767238927
5129,149085,23.52,35.85,11.78,-3.06,55.06,Canara Robeco Value Fund - Direct Plan - Growth Option,13.970285835733845
5130,149086,22.46,34.75,11.24,-3.67,54.35,Canara Robeco Value Fund - Direct Plan - IDCW (Payout/Reinvestment),13.989052168711643
5131,149087,20.89,32.94,9.8,-4.18,51.79,Canara Robeco Value Fund - Regular Plan - IDCW (Payout/Reinvestment),13.95430110017798
5132,149088,20.9,32.8,9.82,-4.35,51.55,Canara Robeco Value Fund - Regular Plan - Growth Option,13.953420989842492
5133,149089,17.37,29.29,5.67,-8.97,48.88,Nippon India Flexi Cap Fund - Regular Plan - Growth Plan - Growth Option,14.81937344275005
5134,149090,14.59,25.48,4.65,-8.23,42.05,UTI Focused Fund - Regular Plan - Growth Option,13.11950994488861
5135,149091,16.38,27.04,6.33,-6.39,44.08,UTI Focused Fund - Direct Plan - Growth Option,13.116854054974418
5136,149092,14.57,25.04,4.82,-8.05,42.08,UTI Focused Equity Fund - Regular Plan - IDCW Payout Option,13.119753351298211
5137,149093,16.12,26.93,6.35,-6.35,43.98,UTI Focused Equity Fund - Direct Plan - IDCW Payout Option,13.116998070225149
5138,149094,18.77,31.15,7.44,-7.37,50.56,Nippon India Flexi Cap Fund - Direct Plan - Growth Plan - Growth Option,14.816749080646781
5139,149095,18.56,30.85,7.28,-7.27,51.17,Nippon India Flexi Cap Fund - Direct Plan - IDCW Option,14.816787584069424
5140,149096,17.07,29.43,5.73,-9.26,48.44,Nippon India Flexi Cap Fund - Regular Plan - IDCW Option,14.819502688790221
5145,149101,15.41,27.2,5.0,-8.96,45.58,Mahindra Manulife Flexi Cap Yojana - Regular Plan -Growth,14.009824185588034
5146,149102,12.79,24.59,2.22,-12.0,42.66,Mahindra Manulife Flexi Cap Yojana - Regular Plan -IDCW,14.64604174431302
5147,149103,15.34,27.08,4.47,-9.87,45.6,Mahindra Manulife Flexi Cap Yojana - Direct Plan -IDCW,14.58890757716937
5148,149104,18.23,30.12,7.2,-6.64,49.19,Mahindra Manulife Flexi Cap Yojana - Direct Plan -Growth,14.008218644579594
5149,149105,13.57,26.58,0.93,-14.77,49.33,Mirae Asset Nifty Financial Services ETF,17.080611018842
5150,149106,17.48,29.27,6.73,-7.28,47.91,HDFC NIFTY50 Equal weight Index Fund - Growth Option,14.027253839349378
5151,149107,18.04,29.93,7.11,-6.35,49.04,HDFC NIFTY50 Equal weight Index Fund - Direct Plan - Growth Option,14.027466819124852
5152,149108,4.6,5.39,3.8,2.58,6.43,SBI Fixed Maturity Plan (FMP) - Series 48 (1458 Days) - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),1.1372183443654529
5153,149109,4.44,5.23,3.61,2.35,6.3,SBI Fixed Maturity Plan (FMP) - Series 48 (1458 Days) - Regular Plan - Growth,1.1371776252713999
5154,149110,4.44,5.24,3.62,2.39,6.32,SBI Fixed Maturity Plan (FMP) - Series 48 (1458 Days) - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),1.137102039691894
5155,149111,4.56,5.34,3.76,2.53,6.42,SBI Fixed Maturity Plan (FMP) - Series 48 (1458 Days) - Direct Plan - Growth,1.137191061415473
5156,149112,6.48,6.7,6.25,5.95,7.03,Mirae Asset Money Market Fund Direct Growth,0.30648589248725505
5157,149113,6.42,6.64,6.2,5.9,6.96,Mirae Asset Money Market Fund Direct IDCW,0.30541166209271076
5158,149114,6.07,6.29,5.86,5.56,6.6,Mirae Asset Money Market Fund Regular IDCW,0.29687299947812545
5159,149115,6.07,6.29,5.87,5.56,6.61,Mirae Asset Money Market Fund Regular Growth,0.29679943942972437
5160,149116,5.53,5.73,5.35,5.08,6.01,Union Money Market Fund - Regular Plan -  Growth Option,0.26780675367155254
5161,149117,6.31,6.52,6.11,5.83,6.83,Union Money Market Fund - Direct Plan -  Growth Option,0.29028991171785223
5162,149118,0.07,0.11,0.03,-0.02,0.17,Union Money Market Fund - Regular Plan - Daily IDCW Option,0.05772135786280984
5164,149123,0.14,1.32,-1.09,-3.01,2.86,Union Money Market Fund - Direct Plan -  Monthly IDCW Option,1.7732077851980366
5165,149128,6.05,7.18,4.9,3.2,8.77,Nippon India Fixed Horizon Fund - XLIII - Series 1 - Regular Plan - Income Distribution cum Capital Withdrawal Plan,1.594700036430775
5166,149129,6.31,7.42,5.15,3.41,8.95,Nippon India Fixed Horizon Fund - XLIII - Series 1- Direct Plan - Growth Option,1.596282492741555
5167,149130,6.3,7.41,5.11,3.43,8.99,Nippon India Fixed Horizon Fund - XLIII - Series 1 - Direct Plan - Income Distribution Cum Capital Withdrawal Plan,1.5960736866721634
